batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,position,career,starting_salary,OPS,lag_1_avg,lag_2_avg,lag_3_avg,lag_1_G,lag_2_G,lag_3_G,lag_1_AB,lag_2_AB,lag_3_AB,lag_1_R,lag_2_R,lag_3_R,lag_1_H,lag_2_H,lag_3_H,lag_1_2B,lag_2_2B,lag_3_2B,lag_1_3B,lag_2_3B,lag_3_3B,lag_1_HR,lag_2_HR,lag_3_HR,lag_1_TB,lag_2_TB,lag_3_TB,lag_1_RBI,lag_2_RBI,lag_3_RBI,lag_1_SB,lag_2_SB,lag_3_SB,lag_1_CS,lag_2_CS,lag_3_CS,lag_1_BB,lag_2_BB,lag_3_BB,lag_1_HBP,lag_2_HBP,lag_3_HBP,lag_1_SO,lag_2_SO,lag_3_SO,lag_1_GDP,lag_2_GDP,lag_3_GDP,lag_1_SLG,lag_2_SLG,lag_3_SLG,lag_1_OBP,lag_2_OBP,lag_3_OBP,lag_1_E,lag_2_E,lag_3_E,1B,1b_luck,2b_luck,3b_luck,lag_1_1b_luck,lag_2_1b_luck,lag_3_1b_luck,lag_1_2b_luck,lag_2_2b_luck,lag_3_2b_luck,lag_1_3b_luck,lag_2_3b_luck,lag_3_3b_luck
2,강구성,2017,NC,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.0,0.0,0.2,,2.0,4.0,,3.0,5.0,,0.0,0.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.4,,0.0,0.2,,0.0,0.0,,0,,,,0.0,0.0,,0.0,0.2,,0.0,0.0,
2,강구성,2018,NC,0.2,4,5,0,1,1,0,0,2,1,0,0,0,0,3,0,0.4,0.2,0,180cm/82kg,1993년 06월 09일,외야수(우투좌타),관산초-부천중-야탑고-NC-상무,9000만원,0.6000000000000001,0.0,0.0,0.2,1.0,2.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.5,0.0,,0.0,0.0,,0.0,0.2,,0.0,0.0
138,백승룡,2005,한화,0.127,39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,0.15873015873015872,0.25675675675675674,3,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.41548691548691546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.125,0.041666666666666664,0.0,,,,,,,,,
138,백승룡,2006,한화,0.139,37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,0.19444444444444445,0.32608695652173914,4,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.5205314009661836,0.127,,,39.0,,,63.0,,,9.0,,,8.0,,,2.0,,,0.0,,,0.0,,,10.0,,,3.0,,,1.0,,,2.0,,,7.0,,,4.0,,,15.0,,,1.0,,,0.15873015873015872,,,0.25675675675675674,,,3.0,,,3,0.13636363636363635,0.09090909090909091,0.0,0.125,,,0.041666666666666664,,,0.0,,
138,백승룡,2007,한화,0.0,8,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.0,0.139,0.127,,37.0,39.0,,36.0,63.0,,6.0,9.0,,5.0,8.0,,2.0,2.0,,0.0,0.0,,0.0,0.0,,7.0,10.0,,0.0,3.0,,1.0,1.0,,0.0,2.0,,8.0,7.0,,2.0,4.0,,14.0,15.0,,0.0,1.0,,0.19444444444444445,0.15873015873015872,,0.32608695652173914,0.25675675675675674,,4.0,3.0,,0,0.0,0.0,0.0,0.13636363636363635,0.125,,0.09090909090909091,0.041666666666666664,,0.0,0.0,
138,백승룡,2008,한화,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.0,0.0,0.139,0.127,8.0,37.0,39.0,4.0,36.0,63.0,3.0,6.0,9.0,0.0,5.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,7.0,0.0,2.0,4.0,2.0,14.0,15.0,1.0,0.0,1.0,0.0,0.19444444444444445,0.15873015873015872,0.0,0.32608695652173914,0.25675675675675674,0.0,4.0,3.0,0,0.0,0.0,0.0,0.0,0.13636363636363635,0.125,0.0,0.09090909090909091,0.041666666666666664,0.0,0.0,0.0
138,백승룡,2011,한화,0.17600000000000002,38,51,7,9,2,0,0,11,3,1,1,7,2,13,1,0.215686274509804,0.3,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.5156862745098039,,,0.0,,,2.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,7,0.18421052631578946,0.05263157894736842,0.0,,,0.0,,,0.0,,,0.0
138,백승룡,2012,한화,0.231,33,52,3,12,1,0,0,13,3,3,0,6,3,20,0,0.25,0.3442622950819672,1,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,0.5942622950819672,0.17600000000000002,,,38.0,,,51.0,,,7.0,,,9.0,,,2.0,,,0.0,,,0.0,,,11.0,,,3.0,,,1.0,,,1.0,,,7.0,,,2.0,,,13.0,,,1.0,,,0.215686274509804,,,0.3,,,0.0,,,11,0.34375,0.03125,0.0,0.18421052631578946,,,0.05263157894736842,,,0.0,,
138,백승룡,2013,한화,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1982년 08월 16일,,사직초(부산극동리틀)-사직중-경남상고-경성대-한화-넥센,,,0.231,0.17600000000000002,,33.0,38.0,,52.0,51.0,,3.0,7.0,,12.0,9.0,,1.0,2.0,,0.0,0.0,,0.0,0.0,,13.0,11.0,,3.0,3.0,,3.0,1.0,,0.0,1.0,,6.0,7.0,,3.0,2.0,,20.0,13.0,,0.0,1.0,,0.25,0.215686274509804,,0.3442622950819672,0.3,,1.0,0.0,,0,,,,0.34375,0.18421052631578946,,0.03125,0.05263157894736842,,0.0,0.0,
297,진갑용,1997,OB,0.242,95,281,21,68,7,0,4,87,20,2,0,20,6,44,7,0.3096085409252669,0.30618892508143325,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.6157974660067002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.2446351931330472,0.030042918454935622,0.0,,,,,,,,,
297,진갑용,1998,OB,0.26899999999999996,88,253,12,68,14,1,2,90,22,1,1,14,0,44,10,0.3557312252964427,0.30711610486891383,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.6628473301653566,0.242,,,95.0,,,281.0,,,21.0,,,68.0,,,7.0,,,0.0,,,4.0,,,87.0,,,20.0,,,2.0,,,0.0,,,20.0,,,6.0,,,44.0,,,7.0,,,0.3096085409252669,,,0.30618892508143325,,,6.0,,,51,0.2463768115942029,0.06763285024154589,0.004830917874396135,0.2446351931330472,,,0.030042918454935622,,,0.0,,
297,진갑용,1999,삼성,0.212,68,156,13,33,3,0,4,48,17,0,2,10,2,29,7,0.3076923076923077,0.26785714285714285,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.5755494505494505,0.26899999999999996,0.242,,88.0,95.0,,253.0,281.0,,12.0,21.0,,68.0,68.0,,14.0,7.0,,1.0,0.0,,2.0,4.0,,90.0,87.0,,22.0,20.0,,1.0,2.0,,1.0,0.0,,14.0,20.0,,0.0,6.0,,44.0,44.0,,10.0,7.0,,0.3557312252964427,0.3096085409252669,,0.30711610486891383,0.30618892508143325,,7.0,6.0,,26,0.21138211382113822,0.024390243902439025,0.0,0.2463768115942029,0.2446351931330472,,0.06763285024154589,0.030042918454935622,,0.004830917874396135,0.0,
297,진갑용,2000,삼성,0.273,114,297,30,81,14,0,8,119,58,2,1,23,6,45,7,0.4006734006734007,0.3374233128834356,7,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7380967135568363,0.212,0.26899999999999996,0.242,68.0,88.0,95.0,156.0,253.0,281.0,13.0,12.0,21.0,33.0,68.0,68.0,3.0,14.0,7.0,0.0,1.0,0.0,4.0,2.0,4.0,48.0,90.0,87.0,17.0,22.0,20.0,0.0,1.0,2.0,2.0,1.0,0.0,10.0,14.0,20.0,2.0,0.0,6.0,29.0,44.0,44.0,7.0,10.0,7.0,0.3076923076923077,0.3557312252964427,0.3096085409252669,0.26785714285714285,0.30711610486891383,0.30618892508143325,7.0,7.0,6.0,59,0.24180327868852458,0.05737704918032787,0.0,0.21138211382113822,0.2463768115942029,0.2446351931330472,0.024390243902439025,0.06763285024154589,0.030042918454935622,0.0,0.004830917874396135,0.0
297,진갑용,2001,삼성,0.306,89,314,54,96,25,2,7,146,57,2,3,23,7,37,4,0.4649681528662421,0.3662790697674417,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.8312472226336839,0.273,0.212,0.26899999999999996,114.0,68.0,88.0,297.0,156.0,253.0,30.0,13.0,12.0,81.0,33.0,68.0,14.0,3.0,14.0,0.0,0.0,1.0,8.0,4.0,2.0,119.0,48.0,90.0,58.0,17.0,22.0,2.0,0.0,1.0,1.0,2.0,1.0,23.0,10.0,14.0,6.0,2.0,0.0,45.0,29.0,44.0,7.0,7.0,10.0,0.4006734006734007,0.3076923076923077,0.3557312252964427,0.3374233128834356,0.26785714285714285,0.30711610486891383,7.0,7.0,7.0,62,0.22962962962962963,0.09259259259259259,0.007407407407407408,0.24180327868852458,0.21138211382113822,0.2463768115942029,0.05737704918032787,0.024390243902439025,0.06763285024154589,0.0,0.0,0.004830917874396135
297,진갑용,2002,삼성,0.281,133,462,58,130,29,1,18,215,86,0,0,41,8,56,13,0.4653679653679654,0.350293542074364,11,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.8156615074423293,0.306,0.273,0.212,89.0,114.0,68.0,314.0,297.0,156.0,54.0,30.0,13.0,96.0,81.0,33.0,25.0,14.0,3.0,2.0,0.0,0.0,7.0,8.0,4.0,146.0,119.0,48.0,57.0,58.0,17.0,2.0,2.0,0.0,3.0,1.0,2.0,23.0,23.0,10.0,7.0,6.0,2.0,37.0,45.0,29.0,4.0,7.0,7.0,0.4649681528662421,0.4006734006734007,0.3076923076923077,0.3662790697674417,0.3374233128834356,0.26785714285714285,4.0,7.0,7.0,82,0.211340206185567,0.07474226804123711,0.002577319587628866,0.22962962962962963,0.24180327868852458,0.21138211382113822,0.09259259259259259,0.05737704918032787,0.024390243902439025,0.007407407407407408,0.0,0.0
297,진갑용,2003,삼성,0.29,126,435,64,126,20,2,21,213,53,1,1,36,10,34,13,0.4896551724137931,0.3575883575883576,13,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.8472435300021507,0.281,0.306,0.273,133.0,89.0,114.0,462.0,314.0,297.0,58.0,54.0,30.0,130.0,96.0,81.0,29.0,25.0,14.0,1.0,2.0,0.0,18.0,7.0,8.0,215.0,146.0,119.0,86.0,57.0,58.0,0.0,2.0,2.0,0.0,3.0,1.0,41.0,23.0,23.0,8.0,7.0,6.0,56.0,37.0,45.0,13.0,4.0,7.0,0.4653679653679654,0.4649681528662421,0.4006734006734007,0.350293542074364,0.3662790697674417,0.3374233128834356,11.0,4.0,7.0,83,0.21842105263157896,0.05263157894736842,0.005263157894736842,0.211340206185567,0.22962962962962963,0.24180327868852458,0.07474226804123711,0.09259259259259259,0.05737704918032787,0.002577319587628866,0.007407407407407408,0.0
297,진갑용,2004,삼성,0.278,129,439,60,122,20,0,24,214,71,0,0,34,12,51,16,0.4874715261958998,0.3463917525773196,5,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.8338632787732194,0.29,0.281,0.306,126.0,133.0,89.0,435.0,462.0,314.0,64.0,58.0,54.0,126.0,130.0,96.0,20.0,29.0,25.0,2.0,1.0,2.0,21.0,18.0,7.0,213.0,215.0,146.0,53.0,86.0,57.0,1.0,0.0,2.0,1.0,0.0,3.0,36.0,41.0,23.0,10.0,8.0,7.0,34.0,56.0,37.0,13.0,13.0,4.0,0.4896551724137931,0.4653679653679654,0.4649681528662421,0.3575883575883576,0.350293542074364,0.3662790697674417,13.0,11.0,4.0,78,0.21428571428571427,0.054945054945054944,0.0,0.21842105263157896,0.211340206185567,0.22962962962962963,0.05263157894736842,0.07474226804123711,0.09259259259259259,0.005263157894736842,0.002577319587628866,0.007407407407407408
297,진갑용,2005,삼성,0.28800000000000003,110,347,34,100,17,0,6,135,41,1,1,36,8,47,8,0.3890489913544669,0.3682864450127877,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7573354363672546,0.278,0.29,0.281,129.0,126.0,133.0,439.0,435.0,462.0,60.0,64.0,58.0,122.0,126.0,130.0,20.0,20.0,29.0,0.0,2.0,1.0,24.0,21.0,18.0,214.0,213.0,215.0,71.0,53.0,86.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,36.0,41.0,12.0,10.0,8.0,51.0,34.0,56.0,16.0,13.0,13.0,0.4874715261958998,0.4896551724137931,0.4653679653679654,0.3463917525773196,0.3575883575883576,0.350293542074364,5.0,13.0,11.0,77,0.2619047619047619,0.05782312925170068,0.0,0.21428571428571427,0.21842105263157896,0.211340206185567,0.054945054945054944,0.05263157894736842,0.07474226804123711,0.0,0.005263157894736842,0.002577319587628866
297,진갑용,2006,삼성,0.28800000000000003,110,358,28,103,22,0,6,143,47,1,2,29,5,37,18,0.3994413407821229,0.3494897959183674,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7489311367004903,0.28800000000000003,0.278,0.29,110.0,129.0,126.0,347.0,439.0,435.0,34.0,60.0,64.0,100.0,122.0,126.0,17.0,20.0,20.0,0.0,0.0,2.0,6.0,24.0,21.0,135.0,214.0,213.0,41.0,71.0,53.0,1.0,0.0,1.0,1.0,0.0,1.0,36.0,34.0,36.0,8.0,12.0,10.0,47.0,51.0,34.0,8.0,16.0,13.0,0.3890489913544669,0.4874715261958998,0.4896551724137931,0.3682864450127877,0.3463917525773196,0.3575883575883576,6.0,5.0,13.0,75,0.23809523809523808,0.06984126984126984,0.0,0.2619047619047619,0.21428571428571427,0.21842105263157896,0.05782312925170068,0.054945054945054944,0.05263157894736842,0.0,0.0,0.005263157894736842
297,진갑용,2007,삼성,0.24600000000000002,122,362,28,89,12,0,5,116,39,0,1,49,7,38,9,0.32044198895027626,0.34688995215310997,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.6673319411033862,0.28800000000000003,0.28800000000000003,0.278,110.0,110.0,129.0,358.0,347.0,439.0,28.0,34.0,60.0,103.0,100.0,122.0,22.0,17.0,20.0,0.0,0.0,0.0,6.0,6.0,24.0,143.0,135.0,214.0,47.0,41.0,71.0,1.0,1.0,0.0,2.0,1.0,0.0,29.0,36.0,34.0,5.0,8.0,12.0,37.0,47.0,51.0,18.0,8.0,16.0,0.3994413407821229,0.3890489913544669,0.4874715261958998,0.3494897959183674,0.3682864450127877,0.3463917525773196,4.0,6.0,5.0,72,0.22570532915360503,0.03761755485893417,0.0,0.23809523809523808,0.2619047619047619,0.21428571428571427,0.06984126984126984,0.05782312925170068,0.054945054945054944,0.0,0.0,0.0
297,진갑용,2008,삼성,0.27899999999999997,105,272,34,76,7,0,11,116,45,1,1,30,1,41,6,0.4264705882352941,0.35313531353135313,3,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7796059017666472,0.24600000000000002,0.28800000000000003,0.28800000000000003,122.0,110.0,110.0,362.0,358.0,347.0,28.0,28.0,34.0,89.0,103.0,100.0,12.0,22.0,17.0,0.0,0.0,0.0,5.0,6.0,6.0,116.0,143.0,135.0,39.0,47.0,41.0,0.0,1.0,1.0,1.0,2.0,1.0,49.0,29.0,36.0,7.0,5.0,8.0,38.0,37.0,47.0,9.0,18.0,8.0,0.32044198895027626,0.3994413407821229,0.3890489913544669,0.34688995215310997,0.3494897959183674,0.3682864450127877,4.0,4.0,6.0,58,0.2636363636363636,0.031818181818181815,0.0,0.22570532915360503,0.23809523809523808,0.2619047619047619,0.03761755485893417,0.06984126984126984,0.05782312925170068,0.0,0.0,0.0
297,진갑용,2009,삼성,0.23199999999999998,57,142,10,33,3,1,3,47,20,1,2,15,4,23,5,0.3309859154929577,0.3229813664596273,2,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.653967281952585,0.27899999999999997,0.24600000000000002,0.28800000000000003,105.0,122.0,110.0,272.0,362.0,358.0,34.0,28.0,28.0,76.0,89.0,103.0,7.0,12.0,22.0,0.0,0.0,0.0,11.0,5.0,6.0,116.0,116.0,143.0,45.0,39.0,47.0,1.0,0.0,1.0,1.0,1.0,2.0,30.0,49.0,29.0,1.0,7.0,5.0,41.0,38.0,37.0,6.0,9.0,18.0,0.4264705882352941,0.32044198895027626,0.3994413407821229,0.35313531353135313,0.34688995215310997,0.3494897959183674,3.0,4.0,4.0,26,0.22413793103448276,0.02586206896551724,0.008620689655172414,0.2636363636363636,0.22570532915360503,0.23809523809523808,0.031818181818181815,0.03761755485893417,0.06984126984126984,0.0,0.0,0.0
297,진갑용,2010,삼성,0.263,100,259,36,68,8,0,10,106,28,0,0,45,2,57,7,0.4092664092664093,0.3758169934640523,4,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7850834027304616,0.23199999999999998,0.27899999999999997,0.24600000000000002,57.0,105.0,122.0,142.0,272.0,362.0,10.0,34.0,28.0,33.0,76.0,89.0,3.0,7.0,12.0,1.0,0.0,0.0,3.0,11.0,5.0,47.0,116.0,116.0,20.0,45.0,39.0,1.0,1.0,0.0,2.0,1.0,1.0,15.0,30.0,49.0,4.0,1.0,7.0,23.0,41.0,38.0,5.0,6.0,9.0,0.3309859154929577,0.4264705882352941,0.32044198895027626,0.3229813664596273,0.35313531353135313,0.34688995215310997,2.0,3.0,4.0,50,0.2604166666666667,0.041666666666666664,0.0,0.22413793103448276,0.2636363636363636,0.22570532915360503,0.02586206896551724,0.031818181818181815,0.03761755485893417,0.008620689655172414,0.0,0.0
297,진갑용,2011,삼성,0.273,112,286,26,78,7,0,10,115,42,1,0,35,3,53,10,0.4020979020979021,0.3580246913580247,6,,1974년 05월 08일,,하단초-초량중-부산고-고려대-OB-두산-삼성,,0.7601225934559268,0.263,0.23199999999999998,0.27899999999999997,100.0,57.0,105.0,259.0,142.0,272.0,36.0,10.0,34.0,68.0,33.0,76.0,8.0,3.0,7.0,0.0,1.0,0.0,10.0,3.0,11.0,106.0,47.0,116.0,28.0,20.0,45.0,0.0,1.0,1.0,0.0,2.0,1.0,45.0,15.0,30.0,2.0,4.0,1.0,57.0,23.0,41.0,7.0,5.0,6.0,0.4092664092664093,0.3309859154929577,0.4264705882352941,0.3758169934640523,0.3229813664596273,0.35313531353135313,4.0,2.0,3.0,61,0.273542600896861,0.03139013452914798,0.0,0.2604166666666667,0.22413793103448276,0.2636363636363636,0.041666666666666664,0.02586206896551724,0.031818181818181815,0.0,0.008620689655172414,0.0
